geoid,pct_bachelor_or_greater,pct_white,pct_black,pct_hispanic,pct_asian,pct_minority,median_household_income,median_home_value
06037900703,0.17094557473844216,0.39715741485652994,0.1738943102293345,0.35961383748994374,0.07106489709079228,0.6028425851434701,0.05695946969059677,0.05241251013818077
06037900704,0.16680721734701545,0.28076923076923077,0.3294320742019487,0.3062937062937063,0.08835712472758779,0.7192307692307692,0.09408701650487071,0.0
06037900705,0.23292114511135362,0.5951918406993686,0.10479556026100333,0.24720738222438077,0.01710619332932557,0.40480815930063146,0.13046166529266284,0.0899501608541097
06037900803,0.1566790556408764,0.27241343236740245,0.17857385162660788,0.42734595669003034,0.07041792092610794,0.7275865676325975,0.1440012113666571,0.07251299244925383
06037900804,0.07659166399460246,0.14737171464330412,0.28878933394776946,0.5575719649561952,0.017842782201155698,0.8526282853566959,0.10640678365327995,0.05190999808040394
06037900805,0.1700758580656506,0.44421722335832764,0.1801986805965552,0.3428766189502386,0.03506120892424324,0.5557827766416723,0.18374497366959974,0.06954817130837054
06037900806,0.06490881989844591,0.28551724137931034,0.41396623863800325,0.3080459770114943,0.02004954468948254,0.7144827586206897,0.029447145717314133,0.055578336102174775
06037900900,0.2244761535179081,0.6841520954759922,0.102529621410331,0.1634748820427422,0.03537852790592737,0.3158479045240078,0.1897303026734189,0.09738733930920673
06037901004,0.307511067375771,0.41272141706924315,0.2022012006549027,0.2960547504025765,0.07355287104049144,0.5872785829307569,0.278496559382203,0.12065364758427378
06037901007,0.22449555676395513,0.5913926499032882,0.03223052208185298,0.3568665377176016,0.014057949613031761,0.40860735009671184,0.35724801049851107,0.11904560899938794
06037901008,0.2166763598163769,0.34918478260869573,0.12241051937420412,0.33933423913043476,0.10976381822386677,0.6508152173913044,0.19775560677692344,0.07336726294747442
06037901009,0.2620459539872005,0.5175164758931668,0.203566717026807,0.2644814429413805,0.0252097119317982,0.4824835241068332,0.2002161952992244,0.09829186101320501
06037901010,0.18568435446164705,0.38220675944334,0.232267482968299,0.3560304837640822,0.03315911788343779,0.61779324055666,0.14992765449131013,0.0911059385869964
06037901011,0.3132004924622319,0.5284633757961783,0.15852776963462412,0.22173566878980894,0.07099703650263467,0.4715366242038217,0.19210676851119673,0.09482452781454491
06037901101,0.19446270636075041,0.5492561318858062,0.1022051067223201,0.29071170084439085,0.035293362783092856,0.45074386811419376,0.15183303329575853,0.08170896310656975
06037901102,0.2546078690838516,0.5219138056975895,0.09139157250657873,0.34861212563915267,0.04778059864823724,0.4780861943024105,0.1987903157965577,0.1009551749194222
06037901205,0.24149189986237135,0.5511080570348738,0.16088768195373984,0.20889881463666038,0.05868306436128823,0.4488919429651263,0.284179046721739,0.1232667102847133
06037901209,0.20057133749781952,0.7304128053917439,0.0637661133690292,0.17438921651221567,0.0273178457064591,0.2695871946082561,0.1704535895149486,0.09321648922965907
06037901210,0.2659460006221478,0.8043758043758044,0.0,0.14157014157014158,0.02950067893747493,0.19562419562419564,0.18218870400592224,0.09276422837765992
06037901213,0.3135030494454324,0.7754654983570646,0.05289701980229783,0.13773274917853232,0.01653339949855172,0.22453450164293542,0.3785142251459529,0.17598022514550238
06037910001,0.0943872748817409,0.1932334623800707,0.09545749380765815,0.693822588789766,0.01882086659831269,0.8067665376199294,0.1662053939465316,0.06698535981370873
06037910002,0.11736358439461896,0.25409721249474715,0.07358366823524035,0.6484101414763973,0.00798788792756599,0.7459027875052529,0.13832293016134733,0.06527681881726752
06037910101,0.07442995279670128,0.10826888756692445,0.14448960695342236,0.6882807852468769,0.07050782544212389,0.8917311124330756,0.09816696670424148,0.08768885659411398
06037910201,0.1586088281345174,0.30800990916597853,0.14988131804345797,0.48637489677952106,0.05755398211430679,0.6919900908340215,0.17476067096253178,0.08608081800922814
06037910202,0.3199291242413513,0.5455700798838053,0.09598818606940684,0.25272331154684097,0.09460000381740791,0.45442992011619465,0.3152707909214799,0.201055576828566
06037910205,0.3360243844685572,0.45154185022026433,0.0,0.36270190895741555,0.17404354562145408,0.5484581497797356,0.17795312684018372,0.17819127819972042
06037910206,0.3505523401521449,0.27351413733410274,0.17894091316241217,0.3854587420657819,0.14226864654100949,0.7264858626658972,0.3760872856974612,0.12341746390204635
06037910207,0.27123076738003293,0.33985165205664186,0.09445966419984371,0.3806473364801079,0.16191653086249921,0.6601483479433581,0.322551609266955,0.12050289396694074
06037910208,0.1760591842954072,0.2695241000610128,0.10356222923968846,0.5387431360585723,0.05065434141670376,0.7304758999389873,0.20389656274711038,0.10718632443585484
06037910209,0.3387287542511961,0.4980292140041735,0.11472564699308406,0.21330860190122886,0.19340092110268833,0.5019707859958266,0.354026111681276,0.12311595666738025
06037910210,0.3452681779446439,0.44108548931383584,0.19871535409538246,0.2734814398200225,0.07452221632496187,0.5589145106861642,0.3094873563605162,0.1235682175193794
06037910301,0.27438969047194073,0.6087573964497042,0.04411873932311653,0.2608284023668639,0.03784499855588716,0.39124260355029583,0.3380301832192069,0.12944760859536825
06037910302,0.36110746567448915,0.6506129597197898,0.037788801852435355,0.20735551663747814,0.06422984948348306,0.34938704028021017,0.3097228998771809,0.12507575369270985
06037910401,0.3510486659979351,0.3463678968951377,0.12408909413122927,0.4065612185120094,0.07369163123500155,0.6536321031048623,0.26133132560526273,0.1049752713816368
06037910402,0.09521999639762224,0.10524846454494696,0.16021530245369106,0.7046342825237298,0.024348274539153836,0.894751535455053,0.07389336608509851,0.04995020105507432
06037910403,0.053795033712775164,0.04337050805452292,0.03733026395607472,0.8661710037174721,0.0,0.9566294919454771,0.036408297861601366,0.03909594060709487
06037910404,0.10396842818111761,0.1967654986522911,0.12606435168999314,0.6808625336927224,0.001808325096397451,0.8032345013477089,0.14457324562141427,0.07236223883192078
06037910502,0.10244302544923092,0.19066455696202533,0.2076492240877072,0.5899261603375527,0.0076666244197652125,0.8093354430379747,0.08741608762218821,0.055528084896397094
06037910504,0.0874454814550357,0.11992543496271749,0.09195834618837813,0.7821043910521955,0.01598015539308145,0.8800745650372825,0.09837727341554924,0.06321651938038253
06037910505,0.041285750399710115,0.25254181698917677,0.08484845158094226,0.6454575270580518,0.025304096503049277,0.7474581830108232,0.157014990662382,0.07422153344569503
06037910601,0.05360875256976008,0.18524681087077097,0.14238820933033508,0.6643094841930116,0.006976795037057552,0.814753189129229,0.06603630735064017,0.06050295426838767
